,Confederation,Stadium,City,HomeTeams,Capacity,Country,IOC,Population,fullname
184,CONMEBOL,Maracanã,Rio de Janeiro,"Flamengo, Botafogo, Fluminense, Vasco",78838,Brazil,BRA,210147125,"Maracanã (Flamengo, Botafogo, Fluminense, Vasco)"
172,CONMEBOL,Estádio Nacional,Brasilia,Brasília FC,72888,Brazil,BRA,210147125,Estádio Nacional (Brasília FC)
162,CONMEBOL,Estádio do Morumbi,São Paulo,FC São Paulo,67428,Brazil,BRA,210147125,Estádio do Morumbi (FC São Paulo)
157,CONMEBOL,Estádio Castelão,Fortaleza,"Fortaleza, Ceará, Ferroviário",63903,Brazil,BRA,210147125,"Estádio Castelão (Fortaleza, Ceará, Ferroviário)"
170,CONMEBOL,Estádio Mineirão,Belo Horizonte,"Cruzeiro, Mineiro",62160,Brazil,BRA,210147125,"Estádio Mineirão (Cruzeiro, Mineiro)"
150,CONMEBOL,Arena do Grêmio,Pôrto Alegre,Gręmio,60540,Brazil,BRA,210147125,Arena do Grêmio (Gręmio)
160,CONMEBOL,Estádio do Arruda,Recife,Santa Cruz,53289,Brazil,BRA,210147125,Estádio do Arruda (Santa Cruz)
153,CONMEBOL,Estádio Beira-Rio,Pôrto Alegre,Internacional,51800,Brazil,BRA,210147125,Estádio Beira-Rio (Internacional)
178,CONMEBOL,Estádio Serra Dourada,Goiânia,"Goiás, Vila Nova, Atlético Goianiense, Goiânia",50049,Brazil,BRA,210147125,"Estádio Serra Dourada (Goiás, Vila Nova, Atlético Goianiense, Goiânia)"
182,CONMEBOL,Itaipava Arena Fonte Nova,Salvador da Bahia,EC Bahia,50000,Brazil,BRA,210147125,Itaipava Arena Fonte Nova (EC Bahia)
