,Confederation,Stadium,City,HomeTeams,Capacity,Country,IOC,Population,fullname
1886,CONCACAF,Bristol Motor Speedway,Bristol,-,153000,United States of America,USA,325719178,Bristol Motor Speedway (-)
1098,AFC,Rungrado May Day Stadium,Pyongyang,-,114000,North Korea,PKR,25368620,Rungrado May Day Stadium (-)
1943,CONCACAF,Michigan Stadium,Ann Arbor,Wolverines,107601,United States of America,USA,325719178,Michigan Stadium (Wolverines)
1882,CONCACAF,Beaver Stadium,University Park,Penn State,106572,United States of America,USA,325719178,Beaver Stadium (Penn State)
1951,CONCACAF,Ohio Stadium,Columbus,Buckeyes,104944,United States of America,USA,325719178,Ohio Stadium (Buckeyes)
1923,CONCACAF,Kyle Field,College Station,Aggies,102733,United States of America,USA,325719178,Kyle Field (Aggies)
1944,CONCACAF,Neyland Stadium,Knoxville,Volunteers,102455,United States of America,USA,325719178,Neyland Stadium (Volunteers)
1982,CONCACAF,Tiger Stadium,Baton Rouge,Tigers,102321,United States of America,USA,325719178,Tiger Stadium (Tigers)
1887,CONCACAF,Bryant-Denny Stadium,Tuscaloosa,Crimson Tide,101821,United States of America,USA,325719178,Bryant-Denny Stadium (Crimson Tide)
1969,CONCACAF,Royal Memorial Stadium,Austin,Longhorns,100119,United States of America,USA,325719178,Royal Memorial Stadium (Longhorns)
