,Country,Population,perhab,Index,Name,Code,PT
0,Faroe Islands,51095,0.5135531852431745,71,Faroe Islands,FO,Ilhas Faroe
1,Gibraltar,32194,0.15530844256693793,83,Gibraltar,GI,Gibraltar
2,Iceland,355620,0.11269613632529105,100,Iceland,IS,Islândia
3,Cyprus,1170125,0.08042303172737955,57,Cyprus,CY,Chipre
4,Portugal,10291027,0.059113730825893274,176,Portugal,PT,Portugal
5,Croatia,4154200,0.05422969524818256,54,Croatia,HR,Croácia
6,Gabon,1979786,0.05163739919365022,78,Gabon,GA,Gabão
7,Qatar,2641669,0.050141406815161174,178,Qatar,QA,Catar
8,Denmark,5806015,0.04752399020670804,59,Denmark,DK,Dinamarca
9,Malta,475700,0.0460100903931049,136,Malta,MT,Malta
