Entity,Code,Year,Abstinence,Name,PT,ImageURL,Label
Libya,LBY,2010,95.4,Libya,Líbia,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg,Líbia (1º)
Mauritania,MRT,2010,95.0,Mauritania,Mauritânia,https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Mauritania.svg,Mauritânia (2º)
Mali,MLI,2010,93.6,Mali,Mali,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg,Mali (3º)
Iran,IRN,2010,93.2,Iran,Eu corri,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,Eu corri (4º)
Jordan,JOR,2010,92.8,Jordan,Jordânia,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg,Jordânia (5º)
Brazil,BRA,2010,21.9,Brazil,Brasil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,Brasil (139º)
Netherlands,NLD,2010,3.8,Netherlands,Países Baixos,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Países Baixos (186º)
Czech Republic,CZE,2010,2.6,Czech Republic,República Checa,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,República Checa (187º)
France,FRA,2010,2.0,France,França,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,França (188º)
Luxembourg,LUX,2010,1.7,Luxembourg,Luxemburgo,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,Luxemburgo (189º)
