,location,date,total_deaths
0,Aruba,2020-03-13,0
1,Aruba,2020-03-20,0
2,Aruba,2020-03-24,0
3,Aruba,2020-03-25,0
4,Aruba,2020-03-26,0
5,Aruba,2020-03-27,0
6,Aruba,2020-03-28,0
7,Aruba,2020-03-29,0
8,Aruba,2020-03-30,0
9,Aruba,2020-04-01,0
10,Aruba,2020-04-02,0
11,Aruba,2020-04-03,0
12,Aruba,2020-04-04,0
13,Aruba,2020-04-05,0
14,Aruba,2020-04-06,0
15,Aruba,2020-04-07,0
16,Aruba,2020-04-08,0
17,Aruba,2020-04-09,0
18,Aruba,2020-04-10,0
19,Aruba,2020-04-11,0
20,Aruba,2020-04-12,0
21,Aruba,2020-04-13,0
22,Aruba,2020-04-14,0
23,Aruba,2020-04-15,0
24,Aruba,2020-04-16,1
25,Aruba,2020-04-17,1
26,Aruba,2020-04-18,2
27,Aruba,2020-04-19,2
28,Aruba,2020-04-20,2
29,Aruba,2020-04-21,2
30,Aruba,2020-04-22,2
31,Aruba,2020-04-23,2
32,Aruba,2020-04-24,2
33,Aruba,2020-04-25,2
34,Aruba,2020-04-26,2
35,Aruba,2020-04-27,2
36,Aruba,2020-04-28,2
37,Aruba,2020-04-29,2
38,Afghanistan,2019-12-31,0
39,Afghanistan,2020-01-01,0
40,Afghanistan,2020-01-02,0
41,Afghanistan,2020-01-03,0
42,Afghanistan,2020-01-04,0
43,Afghanistan,2020-01-05,0
44,Afghanistan,2020-01-06,0
45,Afghanistan,2020-01-07,0
46,Afghanistan,2020-01-08,0
47,Afghanistan,2020-01-09,0
48,Afghanistan,2020-01-10,0
49,Afghanistan,2020-01-11,0
50,Afghanistan,2020-01-12,0
51,Afghanistan,2020-01-13,0
52,Afghanistan,2020-01-14,0
53,Afghanistan,2020-01-15,0
54,Afghanistan,2020-01-16,0
55,Afghanistan,2020-01-17,0
56,Afghanistan,2020-01-18,0
57,Afghanistan,2020-01-19,0
58,Afghanistan,2020-01-20,0
59,Afghanistan,2020-01-21,0
60,Afghanistan,2020-01-22,0
61,Afghanistan,2020-01-23,0
62,Afghanistan,2020-01-24,0
63,Afghanistan,2020-01-25,0
64,Afghanistan,2020-01-26,0
65,Afghanistan,2020-01-27,0
66,Afghanistan,2020-01-28,0
67,Afghanistan,2020-01-29,0
68,Afghanistan,2020-01-30,0
69,Afghanistan,2020-01-31,0
70,Afghanistan,2020-02-01,0
71,Afghanistan,2020-02-02,0
72,Afghanistan,2020-02-03,0
73,Afghanistan,2020-02-04,0
74,Afghanistan,2020-02-05,0
75,Afghanistan,2020-02-06,0
76,Afghanistan,2020-02-07,0
77,Afghanistan,2020-02-08,0
78,Afghanistan,2020-02-09,0
79,Afghanistan,2020-02-10,0
80,Afghanistan,2020-02-11,0
81,Afghanistan,2020-02-12,0
82,Afghanistan,2020-02-13,0
83,Afghanistan,2020-02-14,0
84,Afghanistan,2020-02-15,0
85,Afghanistan,2020-02-16,0
86,Afghanistan,2020-02-17,0
87,Afghanistan,2020-02-18,0
88,Afghanistan,2020-02-19,0
89,Afghanistan,2020-02-20,0
90,Afghanistan,2020-02-21,0
91,Afghanistan,2020-02-22,0
92,Afghanistan,2020-02-23,0
93,Afghanistan,2020-02-24,0
94,Afghanistan,2020-02-25,0
95,Afghanistan,2020-02-26,0
96,Afghanistan,2020-02-27,0
97,Afghanistan,2020-02-28,0
98,Afghanistan,2020-02-29,0
99,Afghanistan,2020-03-01,0
100,Afghanistan,2020-03-02,0
101,Afghanistan,2020-03-08,0
102,Afghanistan,2020-03-11,0
103,Afghanistan,2020-03-15,0
104,Afghanistan,2020-03-16,0
105,Afghanistan,2020-03-17,0
106,Afghanistan,2020-03-18,0
107,Afghanistan,2020-03-19,0
108,Afghanistan,2020-03-20,0
109,Afghanistan,2020-03-21,0
110,Afghanistan,2020-03-22,0
111,Afghanistan,2020-03-23,0
112,Afghanistan,2020-03-24,1
113,Afghanistan,2020-03-25,1
114,Afghanistan,2020-03-26,1
115,Afghanistan,2020-03-27,1
116,Afghanistan,2020-03-28,2
117,Afghanistan,2020-03-29,3
118,Afghanistan,2020-03-30,4
119,Afghanistan,2020-03-31,4
120,Afghanistan,2020-04-01,4
121,Afghanistan,2020-04-02,4
122,Afghanistan,2020-04-03,4
123,Afghanistan,2020-04-04,4
124,Afghanistan,2020-04-05,5
125,Afghanistan,2020-04-06,7
126,Afghanistan,2020-04-07,7
127,Afghanistan,2020-04-08,11
128,Afghanistan,2020-04-09,14
129,Afghanistan,2020-04-10,15
130,Afghanistan,2020-04-11,15
131,Afghanistan,2020-04-12,18
132,Afghanistan,2020-04-13,18
133,Afghanistan,2020-04-14,21
134,Afghanistan,2020-04-15,23
135,Afghanistan,2020-04-16,25
136,Afghanistan,2020-04-17,29
137,Afghanistan,2020-04-18,30
138,Afghanistan,2020-04-19,30
139,Afghanistan,2020-04-20,33
140,Afghanistan,2020-04-21,35
141,Afghanistan,2020-04-22,36
142,Afghanistan,2020-04-23,40
143,Afghanistan,2020-04-24,42
144,Afghanistan,2020-04-25,43
145,Afghanistan,2020-04-26,47
146,Afghanistan,2020-04-27,57
147,Afghanistan,2020-04-28,57
148,Afghanistan,2020-04-29,60
149,Angola,2020-03-22,0
150,Angola,2020-03-23,0
151,Angola,2020-03-24,0
152,Angola,2020-03-25,0
153,Angola,2020-03-26,0
154,Angola,2020-03-27,0
155,Angola,2020-03-28,0
156,Angola,2020-03-29,0
157,Angola,2020-03-30,2
158,Angola,2020-03-31,2
159,Angola,2020-04-01,2
160,Angola,2020-04-02,2
161,Angola,2020-04-03,2
162,Angola,2020-04-04,2
163,Angola,2020-04-05,2
164,Angola,2020-04-06,2
165,Angola,2020-04-07,2
166,Angola,2020-04-08,2
167,Angola,2020-04-09,2
168,Angola,2020-04-10,2
169,Angola,2020-04-11,2
170,Angola,2020-04-12,2
171,Angola,2020-04-13,2
172,Angola,2020-04-14,2
173,Angola,2020-04-15,2
174,Angola,2020-04-16,2
175,Angola,2020-04-17,2
176,Angola,2020-04-18,2
177,Angola,2020-04-19,2
178,Angola,2020-04-20,2
179,Angola,2020-04-21,2
180,Angola,2020-04-22,2
181,Angola,2020-04-23,2
182,Angola,2020-04-24,2
183,Angola,2020-04-25,2
184,Angola,2020-04-26,2
185,Angola,2020-04-27,2
186,Angola,2020-04-28,2
187,Angola,2020-04-29,2
188,Anguilla,2020-03-27,0
189,Anguilla,2020-03-28,0
190,Anguilla,2020-03-29,0
191,Anguilla,2020-03-30,0
192,Anguilla,2020-03-31,0
193,Anguilla,2020-04-01,0
194,Anguilla,2020-04-02,0
195,Anguilla,2020-04-03,0
196,Anguilla,2020-04-04,0
197,Anguilla,2020-04-05,0
198,Anguilla,2020-04-06,0
199,Anguilla,2020-04-07,0
200,Anguilla,2020-04-08,0
201,Anguilla,2020-04-09,0
202,Anguilla,2020-04-10,0
203,Anguilla,2020-04-11,0
204,Anguilla,2020-04-12,0
205,Anguilla,2020-04-13,0
206,Anguilla,2020-04-14,0
207,Anguilla,2020-04-15,0
208,Anguilla,2020-04-16,0
209,Anguilla,2020-04-17,0
210,Anguilla,2020-04-18,0
211,Anguilla,2020-04-19,0
212,Anguilla,2020-04-20,0
213,Anguilla,2020-04-21,0
214,Anguilla,2020-04-22,0
215,Anguilla,2020-04-23,0
216,Anguilla,2020-04-24,0
217,Anguilla,2020-04-25,0
218,Anguilla,2020-04-26,0
219,Anguilla,2020-04-27,0
220,Anguilla,2020-04-28,0
221,Anguilla,2020-04-29,0
222,Albania,2020-03-09,0
223,Albania,2020-03-10,0
224,Albania,2020-03-11,0
225,Albania,2020-03-12,1
226,Albania,2020-03-13,1
227,Albania,2020-03-14,1
228,Albania,2020-03-15,1
229,Albania,2020-03-16,1
230,Albania,2020-03-17,1
231,Albania,2020-03-18,1
232,Albania,2020-03-19,2
233,Albania,2020-03-20,2
234,Albania,2020-03-21,2
235,Albania,2020-03-22,2
236,Albania,2020-03-23,2
237,Albania,2020-03-24,4
238,Albania,2020-03-25,5
239,Albania,2020-03-26,5
240,Albania,2020-03-27,6
241,Albania,2020-03-28,9
242,Albania,2020-03-29,10
243,Albania,2020-03-30,10
244,Albania,2020-03-31,12
245,Albania,2020-04-01,15
246,Albania,2020-04-02,15
247,Albania,2020-04-03,16
248,Albania,2020-04-04,17
249,Albania,2020-04-05,19
250,Albania,2020-04-06,21
251,Albania,2020-04-07,22
252,Albania,2020-04-08,22
253,Albania,2020-04-09,22
254,Albania,2020-04-10,23
255,Albania,2020-04-11,23
256,Albania,2020-04-12,23
257,Albania,2020-04-13,23
258,Albania,2020-04-14,23
259,Albania,2020-04-15,24
260,Albania,2020-04-16,25
261,Albania,2020-04-17,26
262,Albania,2020-04-18,26
263,Albania,2020-04-19,26
264,Albania,2020-04-20,26
265,Albania,2020-04-21,26
266,Albania,2020-04-22,26
267,Albania,2020-04-23,27
268,Albania,2020-04-24,27
269,Albania,2020-04-25,27
270,Albania,2020-04-26,27
271,Albania,2020-04-27,28
272,Albania,2020-04-28,28
273,Albania,2020-04-29,30
274,Andorra,2020-03-03,0
275,Andorra,2020-03-14,0
276,Andorra,2020-03-16,0
