Area,Element,Item,Year,Unit,Value,Name,Code,PT,ImageURL
China,Stocks,Chickens,2018,1000 Head,5372559,China,CN,China,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg
Indonesia,Stocks,Chickens,2018,1000 Head,2384147,Indonesia,ID,Indonésia,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg
United States of America,Stocks,Chickens,2018,1000 Head,1973380,United States of America,US,Estados Unidos,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
Brazil,Stocks,Chickens,2018,1000 Head,1468352,Brazil,BR,Brasil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg
Iran (Islamic Republic of),Stocks,Chickens,2018,1000 Head,1071606,Iran (Islamic Republic of),,Irã,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg
India,Stocks,Chickens,2018,1000 Head,801090,India,IN,Índia,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg
Mexico,Stocks,Chickens,2018,1000 Head,568372,Mexico,MX,México,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg
Pakistan,Stocks,Chickens,2018,1000 Head,524137,Pakistan,PK,Paquistão,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg
Russian Federation,Stocks,Chickens,2018,1000 Head,507050,Russian Federation,,Rússia,https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg
Turkey,Stocks,Chickens,2018,1000 Head,353561,Turkey,TR,Peru,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg
