,"Life expectancy at birth, total (years) (years)","Life expectancy at birth, total (years) (years)","Life expectancy at birth, total (years) (years)","Life expectancy at birth, total (years) (years)","Life expectancy at birth, total (years) (years)","Life expectancy at birth, total (years) (years)","Life expectancy at birth, total (years) (years)","Life expectancy at birth, total (years) (years)","Life expectancy at birth, total (years) (years)","Life expectancy at birth, total (years) (years)","Life expectancy at birth, total (years) (years)","Life expectancy at birth, total (years) (years)",SA
PT,Argentina,Bolívia,Brasil,Chile,Colômbia,Equador,Guiana,Paraguai,Peru,Suriname,Uruguai,Venezuela,
Year,,,,,,,,,,,,,
1960,65.02199999999999,42.138000000000005,54.24100000000001,57.285,56.751999999999995,53.236000000000004,60.26,63.879,47.693999999999996,59.66,67.782,59.253,57.266833333333345
1961,65.141,42.45399999999999,54.754,57.681999999999995,57.283,53.842,60.441,64.101,48.235,60.026,68.006,59.82899999999999,57.64949999999999
1962,65.233,42.778,55.27,58.097,57.775,54.409,60.623000000000005,64.307,48.754,60.386,68.197,60.395,58.018666666666654
1963,65.311,43.11,55.785,58.533,58.238,54.931999999999995,60.805,64.488,49.248999999999995,60.748999999999995,68.347,60.948,58.374583333333334
1964,65.388,43.451,56.293,58.993,58.678000000000004,55.407,60.983999999999995,64.64399999999999,49.728,61.117,68.454,61.488,58.718749999999986
1965,65.48100000000001,43.8,56.794,59.479,59.1,55.84,61.157,64.779,50.214,61.49100000000001,68.521,62.016999999999996,59.05608333333334
1966,65.60300000000001,44.157,57.288999999999994,59.994,59.5,56.236999999999995,61.317,64.903,50.736999999999995,61.867,68.554,62.538999999999994,59.39141666666665
1967,65.76,44.523,57.776,60.536,59.876999999999995,56.615,61.461999999999996,65.03,51.318999999999996,62.239,68.568,63.056000000000004,59.73008333333334
1968,65.953,44.898,58.254,61.104,60.233000000000004,56.992,61.588,65.169,51.971000000000004,62.599,68.57600000000001,63.57,60.07558333333335
1969,66.184,45.28,58.717,61.696000000000005,60.574,57.376999999999995,61.696999999999996,65.322,52.69,62.943000000000005,68.589,64.07600000000001,60.42875
1970,66.449,45.67100000000001,59.153999999999996,62.31100000000001,60.91,57.783,61.788999999999994,65.486,53.457,63.268,68.617,64.569,60.788666666666664
1971,66.74,46.07,59.556999999999995,62.95,61.248000000000005,58.216,61.868,65.656,54.245,63.568000000000005,68.664,65.041,61.15191666666666
1972,67.044,46.477,59.919,63.608999999999995,61.598,58.678000000000004,61.938,65.821,55.022,63.843999999999994,68.732,65.485,61.51391666666667
1973,67.34899999999999,46.891999999999996,60.24100000000001,64.283,61.966,59.167,62.005,65.975,55.762,64.1,68.82300000000001,65.899,61.871833333333335
1974,67.652,47.315,60.527,64.967,62.36,59.681999999999995,62.071999999999996,66.116,56.45399999999999,64.339,68.939,66.279,62.22516666666665
1975,67.95,47.745,60.782,65.658,62.791000000000004,60.222,62.14,66.243,57.099,64.57,69.087,66.63,62.57641666666667
1976,68.248,48.183,61.016999999999996,66.355,63.271,60.781000000000006,62.211000000000006,66.36,57.706,64.806,69.26899999999999,66.956,62.93025
1977,68.54899999999999,48.629,61.244,67.05199999999999,63.79600000000001,61.353,62.283,66.47,58.295,65.054,69.482,67.265,63.28933333333332
1978,68.85600000000001,49.082,61.476000000000006,67.744,64.354,61.93,62.355,66.578,58.881,65.315,69.721,67.56,63.65433333333332
1979,69.164,49.543,61.721000000000004,68.422,64.932,62.511,62.427,66.686,59.471000000000004,65.587,69.98100000000001,67.844,64.02408333333334
1980,69.464,50.012,61.983000000000004,69.074,65.506,63.095,62.498000000000005,66.793,60.065,65.863,70.255,68.11399999999999,64.3935
1981,69.74600000000001,50.489,62.263999999999996,69.69,66.04899999999999,63.68600000000001,62.565,66.898,60.662,66.128,70.535,68.365,64.75641666666667
1982,70.003,50.974,62.559,70.265,66.541,64.286,62.626000000000005,67.0,61.254,66.37100000000001,70.814,68.593,65.10716666666666
1983,70.234,51.466,62.86600000000001,70.798,66.965,64.896,62.684,67.1,61.836000000000006,66.582,71.085,68.795,65.44225
1984,70.438,51.965,63.185,71.288,67.315,65.51100000000001,62.74100000000001,67.199,62.406000000000006,66.758,71.343,68.975,65.76033333333334
1985,70.623,52.472,63.513999999999996,71.73899999999999,67.58800000000001,66.126,62.801,67.304,62.961999999999996,66.902,71.584,69.133,66.06233333333333
1986,70.797,52.986000000000004,63.852,72.157,67.789,66.735,62.869,67.417,63.503,67.01899999999999,71.805,69.274,66.35025
1987,70.971,53.507,64.197,72.553,67.938,67.332,62.95,67.544,64.029,67.12,72.009,69.403,66.62941666666667
1988,71.155,54.034,64.55199999999999,72.936,68.06,67.91,63.04600000000001,67.687,64.542,67.214,72.203,69.529,66.90566666666666
1989,71.352,54.566,64.917,73.311,68.171,68.464,63.159,67.844,65.045,67.305,72.388,69.65899999999999,67.18175
1990,71.565,55.104,65.3,73.68,68.292,68.99,63.29,68.014,65.541,67.393,72.571,69.804,67.462
1991,71.79,55.647,65.708,74.042,68.443,69.487,63.438,68.191,66.03399999999999,67.47800000000001,72.758,69.971,67.74891666666667
1992,72.023,56.195,66.14399999999999,74.39399999999999,68.63,69.956,63.6,68.37,66.528,67.554,72.954,70.165,68.04274999999998
1993,72.256,56.747,66.607,74.733,68.857,70.4,63.77,68.548,67.024,67.62,73.161,70.384,68.34225
1994,72.48899999999999,57.303000000000004,67.095,75.059,69.125,70.82,63.946000000000005,68.727,67.523,67.67699999999999,73.381,70.628,68.64775
1995,72.719,57.861999999999995,67.6,75.374,69.428,71.217,64.122,68.911,68.02600000000001,67.722,73.613,70.893,68.95725000000002
1996,72.947,58.423,68.112,75.678,69.756,71.594,64.297,69.108,68.533,67.751,73.854,71.176,69.26908333333334
1997,73.173,58.986999999999995,68.622,75.97399999999999,70.09,71.953,64.46600000000001,69.322,69.041,67.768,74.098,71.465,69.57991666666666
1998,73.39699999999999,59.553999999999995,69.12,76.259,70.416,72.297,64.63,69.556,69.544,67.781,74.34100000000001,71.752,69.88725000000001
1999,73.618,60.122,69.59899999999999,76.533,70.727,72.624,64.785,69.808,70.036,67.798,74.577,72.027,70.18783333333334
2000,73.832,60.69,70.055,76.793,71.01899999999999,72.933,64.93,70.07,70.512,67.83800000000001,74.805,72.281,70.47983333333333
2001,74.039,61.26,70.486,77.03399999999999,71.293,73.22,65.065,70.335,70.964,67.918,75.02199999999999,72.507,70.76191666666668
2002,74.236,61.82899999999999,70.896,77.255,71.556,73.482,65.192,70.593,71.389,68.051,75.229,72.704,71.03433333333334
2003,74.42399999999999,62.398999999999994,71.29,77.453,71.813,73.72,65.313,70.83800000000001,71.78399999999999,68.23899999999999,75.42699999999999,72.872,71.29766666666667
2004,74.60300000000001,62.968,71.67,77.632,72.062,73.937,65.428,71.067,72.146,68.48,75.61399999999999,73.015,71.55183333333333
2005,74.775,63.538000000000004,72.04,77.791,72.303,74.13600000000001,65.538,71.281,72.473,68.768,75.792,73.134,71.79741666666668
2006,74.941,64.113,72.405,77.934,72.532,74.322,65.642,71.485,72.764,69.089,75.961,73.235,72.03525
2007,75.105,64.692,72.768,78.066,72.749,74.501,65.741,71.686,73.023,69.422,76.124,73.327,72.26700000000001
2008,75.268,65.27199999999999,73.12899999999999,78.193,72.952,74.678,65.836,71.887,73.258,69.749,76.282,73.419,72.49358333333333
2009,75.431,65.847,73.488,78.32,73.143,74.859,65.929,72.089,73.475,70.057,76.436,73.516,72.71583333333334
2010,75.595,66.408,73.83800000000001,78.454,73.325,75.046,66.02199999999999,72.285,73.681,70.335,76.58800000000001,73.625,72.9335
2011,75.76100000000001,66.945,74.17399999999999,78.59899999999999,73.5,75.244,66.117,72.47,73.883,70.578,76.73899999999999,73.748,73.1465
2012,75.926,67.45100000000001,74.488,78.758,73.673,75.449,66.21600000000001,72.638,74.08800000000001,70.79,76.89,73.885,73.35433333333332
2013,76.089,67.922,74.777,78.931,73.847,75.661,66.318,72.786,74.298,70.976,77.04,74.035,73.55666666666664
2014,76.252,68.357,75.042,79.117,74.02199999999999,75.87899999999999,66.425,72.913,74.518,71.138,77.19,74.196,73.75408333333334
2015,76.415,68.756,75.28399999999999,79.315,74.2,76.102,66.536,73.023,74.747,71.279,77.34100000000001,74.367,73.94708333333332
2016,76.577,69.125,75.509,79.52199999999999,74.381,76.327,66.65,73.12,74.983,71.405,77.493,74.545,74.13641666666665
