,Rank2020,EN_country,Score A,Sco Exa,Score 2020,Progression RANK,Index,Name,Code,PT,label
100,101,Malaysia,"33,12",0,"33,12",22,133.0,Malaysia,MY,Malásia,Malásia (101º)
101,102,Lebanon,"33,18","23,0258509","33,19",-1,122.0,Lebanon,LB,Líbano,Líbano (102º)
102,103,Kenya,"33,72","20,7944154","33,72",-3,114.0,Kenya,KE,Quênia,Quênia (103º)
103,104,Mozambique,"33,79","6,93147181","33,79",-1,150.0,Mozambique,MZ,Moçambique,Moçambique (104º)
104,105,Montenegro,"33,83",0,"33,83",-1,147.0,Montenegro,ME,Montenegro,Montenegro (105º)
105,106,Angola,"33,92","10,9861229","33,92",3,6.0,Angola,AO,Angola,Angola (106º)
106,107,Brazil,"33,92","26,3905733","34,05",-2,30.0,Brazil,BR,Brasil,Brasil (107º)
107,108,Mali,"34,12",0,"34,12",4,135.0,Mali,ML,Mali,Mali (108º)
108,109,Kuwait,"34,3",0,"34,3",-1,118.0,Kuwait,KW,Kuweit,Kuweit (109º)
109,110,Guinea,"34,34","21,9722458","34,34",-3,91.0,Guinea,GN,Guiné,Guiné (110º)
