,Rank2020,EN_country,Score A,Sco Exa,Score 2020,Progression RANK,Index,Name,Code,PT,label
170,171,Cuba,"63,81","28,3321334","63,81",-2,55.0,Cuba,CU,Cuba,Cuba (171º)
171,172,Lao People's Democratic Republic,"64,28","56,7332327","64,28",-1,120.0,Lao People's Democratic Republic,LA,República Democrática Popular do Laos,República Democrática Popular do Laos (172º)
172,173,Islamic Republic of Iran,"64,41","66,4118217","64,81",-3,,,,,
173,174,Syrian Arab Republic,"70,19","82,0521843","72,57",0,215.0,Syrian Arab Republic,SY,República Árabe da Síria,República Árabe da Síria (174º)
174,175,Vietnam,"74,71","64,7850964","74,71",1,,,,,
175,176,Djibouti,"76,73","6,93147181","76,73",-3,60.0,Djibouti,DJ,Djibouti,Djibouti (176º)
176,177,China,"76,68","80,4334217","78,48",0,44.0,China,CN,China,China (177º)
177,178,Eritrea,"83,5","72,3561914","83,5",0,67.0,Eritrea,ER,Eritrea,Eritrea (178º)
178,179,Turkmenistan,"85,44",0,"85,44",1,227.0,Turkmenistan,TM,Turcomenistão,Turcomenistão (179º)
179,180,Democratic People's Republic of Korea,"85,82","51,9295685","85,82",-1,251.0,Democratic People's Republic of Korea,,Coréia do Norte,Coréia do Norte (180º)
