PT,ImageURL,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afeganistão,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg,,,,,,,,,,,,,,,3.98152700023436,3.4128191528383,4.14358145936131,6.34590567573504,,,,
Albânia,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,6.685551758586639,7.96762317768731,49.872214578599205,18.609714660785198,16.142023773686198,4.1960685080253795,7.0458441049344005,6.925232179630259,5.33589627789091,4.22887989238631,5.00133314756953,3.11033741922536,3.47232901011837,3.1086513767815798,2.86906756991665,4.31895664889773,4.8519489287956,5.3766405174725405,4.24806216422323,4.0057861355291005,2.2576822770572997,2.6989264217312403
Alemanha,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,1.71611081784386,1.6812583958753502,1.5365737531897399,1.21189355246765,1.2387428484612502,1.24558588598776,1.1344703252488402,1.17017294592497,1.05158141501848,1.0622199106293702,1.0640221255870799,0.9909204096774019,0.930610428686001,0.8899193876013571,0.9917790777645209,0.9802856883790471,0.9118543286762869,0.812915583046494,0.8392282452134859,0.8786390813263921,0.8346817461919079,1.1761928512473898
Andorra,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg,,,,,,,,,,1.31157861602224,,,0.0,1.1924494103337702,0.0,0.0,1.1940155938436599,0.0,0.0,0.0,0.0,
Angola,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,,,,,,,,,,,,,,,,,4.3561623077172404,4.84934940219914,,,,
Antígua e Barbuda,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg,,,,,,5.982006125574269,8.22977532713357,5.79602624440683,5.7278361380637595,4.532218407605059,3.3612315552418397,12.1814819326475,18.6034295969622,17.3014122277731,17.097487737895502,6.33840758073547,,10.333033675356699,,,,
Argentina,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,7.812329652194969,8.50452118312994,9.141835337261911,7.2146833501214696,7.3013816879650495,,,,,,,,,,,,,,,7.507878677612919,6.534191707012099,5.94256445075001
Argélia,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,,,,,,,,,2.00595528003537,1.36760588193583,0.612825408414339,0.923680458074455,0.7900857129296159,0.9408871849014001,0.781035003902355,0.7032575248485939,0.7604654026536658,1.39222203614895,1.25200313981521,1.47520103960511,1.3593660117565602,
Armênia,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg,3.59893806506818,3.5937374396512203,3.18995953855321,2.99121836183514,2.9120332981300896,2.9645672318239504,2.88462641629421,2.27430265430896,2.5183858737109,2.76610238178078,1.9454867893061298,2.6702720973466296,2.62524820528486,3.3353735274497796,3.3580467107759397,1.9462616310854097,2.46906625130713,2.25543925199919,2.17728716240385,2.47744492846378,2.5711787997737403,2.9781257689212697
Arábia Saudita,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg,,,,,0.9397861159165899,0.8331602800034978,1.07493609528384,1.30099512889164,1.1083316615997398,1.29580018675021,1.2423839147006799,1.03750051722452,1.04939818202259,,,,,,,,1.49569935733094,
