Area,Element,Item,Year,Unit,Value,Name,Code,PT,ImageURL
China,Stocks,Pigs,2018,Head,447175334,China,CN,China,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg
United States of America,Stocks,Pigs,2018,Head,74550200,United States of America,US,Estados Unidos,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
Brazil,Stocks,Pigs,2018,Head,41443594,Brazil,BR,Brasil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg
Spain,Stocks,Pigs,2018,Head,30804102,Spain,ES,Espanha,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg
Viet Nam,Stocks,Pigs,2018,Head,28151948,,,,
Germany,Stocks,Pigs,2018,Head,26445400,Germany,DE,Alemanha,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg
Russian Federation,Stocks,Pigs,2018,Head,23075510,Russian Federation,,Rússia,https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg
Mexico,Stocks,Pigs,2018,Head,17838900,Mexico,MX,México,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg
Canada,Stocks,Pigs,2018,Head,14170000,Canada,CA,Canadá,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
France,Stocks,Pigs,2018,Head,13324723,France,FR,França,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg
