Area,Element,Item,Year,Unit,Value,Name,Code,PT,ImageURL
China,Stocks,Sheep,2018,Head,164079093,China,CN,China,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg
Australia,Stocks,Sheep,2018,Head,70067316,Australia,AU,Austrália,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg
India,Stocks,Sheep,2018,Head,61666343,India,IN,Índia,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg
Nigeria,Stocks,Sheep,2018,Head,42971860,Nigeria,NG,Nigéria,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg
Sudan,Stocks,Sheep,2018,Head,40846000,Sudan,SD,Sudão,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Sudan.svg
Iran (Islamic Republic of),Stocks,Sheep,2018,Head,39670704,Iran (Islamic Republic of),,Irã,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg
United Kingdom of Great Britain and Northern Ireland,Stocks,Sheep,2018,Head,33781000,,,,
Turkey,Stocks,Sheep,2018,Head,33677636,Turkey,TR,Peru,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg
Chad,Stocks,Sheep,2018,Head,33215051,Chad,TD,Chade,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg
Ethiopia,Stocks,Sheep,2018,Head,31688157,Ethiopia,ET,Etiópia,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
