,index,Entity,Code_x,Year_x,rate,Code_y,Year_y,wh,label
1,32,Lithuania,LTU,2017,27.990584421836942,LTU,2016,1861.36,Lithuania (1º)
2,47,Russia,RUS,2017,25.0876688104958,RUS,2016,1985.0,Russia (2º)
3,53,South Korea,KOR,2017,20.80566027058975,KOR,2016,2161.05,South Korea (3º)
4,55,Sri Lanka,LKA,2017,19.800418756547835,LKA,2016,2038.54,Sri Lanka (4º)
5,31,Latvia,LVA,2017,16.98867373868409,LVA,2016,1903.48,Latvia (5º)
50,7,Brazil,BRA,2017,6.089304369940513,BRA,2016,1694.99,Brazil (50º)
63,29,Jamaica,JAM,2017,3.6065158776682624,JAM,2016,1848.72,Jamaica (63º)
64,22,Greece,GRC,2017,3.506254231338802,GRC,2016,2064.67,Greece (64º)
65,61,Turkey,TUR,2017,3.310770445952757,TUR,2016,1832.0,Turkey (65º)
66,42,Peru,PER,2017,3.138703281316917,PER,2016,1773.25,Peru (66º)
67,25,Indonesia,IDN,2017,3.1244594971918684,IDN,2016,2071.06,Indonesia (67º)
